course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code;course_sae
1581671279;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;09:25:52;0;409;41101;268435716
1581671204;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;09:32:55;0;832;41101;268435666
1581671249;CARNOTWE;42241;PLACE CARNOT;1;MOSSON;1;09:21:52;0;169;41101;268436093
1581671051;CARNOTWE;42241;PLACE CARNOT;1;MOSSON;1;09:24:24;0;321;41101;268435844
1581671052;CARNOTWE;42241;PLACE CARNOT;1;MOSSON;1;09:28:32;0;569;41101;268435748
1581671369;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;09:22:49;0;226;41101;268435944
1581671882;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;09:25:59;0;416;41101;268435813
1581671125;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;09:30:59;0;716;41101;268436052
1581671052;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;09:21:32;0;149;41101;268435748
1581671369;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;09:26:49;0;466;41101;268435944
1581671882;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;09:29:59;0;656;41101;268435813
1581671051;RLEZ2E;42237;RIVES DU LEZ T3;1;MOSSON;1;09:21:24;0;141;41101;268435844
1581671052;RLEZ2E;42237;RIVES DU LEZ T3;1;MOSSON;1;09:25:32;0;389;41101;268435748
1581671369;RLEZ2E;42237;RIVES DU LEZ T3;1;MOSSON;1;09:30:49;0;706;41101;268435944
1581671285;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;09:23:43;0;280;41101;268435705
1581671218;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;09:26:00;0;417;41101;268436009
1581671279;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;09:30:52;0;709;41101;268435716
1581671276;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;09:20:01;0;58;41101;268435470
1581671226;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;09:22:17;0;194;41101;268435574
1581671277;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;09:26:53;0;470;41101;268435586
1581671276;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;09:23:01;0;238;41101;268435470
1581671226;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;09:25:17;0;374;41101;268435574
1581671277;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;09:29:53;0;650;41101;268435586
1581671239;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;09:20:05;0;62;41101;268435881
1581671285;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;09:25:05;0;362;41101;268435705
1581671218;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;09:27:22;0;499;41101;268436009
1581671249;VOLTAIRE;42239;VOLTAIRE;1;MOSSON;1;09:20:02;0;59;41101;268436093
1581671051;VOLTAIRE;42239;VOLTAIRE;1;MOSSON;1;09:22:30;0;207;41101;268435844
1581671052;VOLTAIRE;42239;VOLTAIRE;1;MOSSON;1;09:27:25;0;502;41101;268435748
1581671068;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;09:22:19;0;196;41155;268436117
1581671069;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;09:27:35;0;512;41155;268436198
1581671230;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;09:31:35;0;752;41155;268435539
1581671230;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;09:22:48;0;225;41155;268435539
1581671070;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;09:29:55;0;652;41155;268436309
1581671082;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;09:32:00;0;777;41155;268436238
1581671066;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;09:26:03;0;420;41155;268436148
1581671067;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;09:27:53;0;530;41155;268436159
1581671068;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;09:32:24;0;801;41155;268436117
